,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Color
0,1/3/17,2017,1,3,Tuesday,1,2017-01,225.04,225.83,223.88,225.24,91366500,200.63,0.0,200.63,200.63,
1,1/4/17,2017,1,4,Wednesday,1,2017-01,225.62,226.75,225.61,226.58,78744400,201.82,0.00594921,201.225,201.225,
2,1/5/17,2017,1,5,Thursday,1,2017-01,226.27,226.58,225.48,226.4,78379000,201.66,-0.00079453,201.37,201.37,
3,1/6/17,2017,1,6,Friday,1,2017-01,226.53,227.75,225.9,227.21,71559900,202.38,0.0035778109999999998,201.6225,201.6225,
4,1/9/17,2017,1,9,Monday,2,2017-02,226.91,227.07,226.42,226.46,46939700,201.72,-0.0033009470000000003,201.642,201.642,Red
5,1/10/17,2017,1,10,Tuesday,2,2017-02,226.48,227.45,226.01,226.46,63771900,201.72,0.0,201.655,201.655,Red
6,1/11/17,2017,1,11,Wednesday,2,2017-02,226.36,227.1,225.59,227.1,74650000,202.29,0.002825937,201.7457143,201.7457143,Red
7,1/12/17,2017,1,12,Thursday,2,2017-02,226.5,226.75,224.96,226.53,72113200,201.78,-0.002509609,201.75,201.75,Red
8,1/13/17,2017,1,13,Friday,2,2017-02,226.73,227.4,226.69,227.05,62717900,202.24,0.002295487,201.80444440000002,201.80444440000002,Red
9,1/17/17,2017,1,17,Tuesday,3,2017-03,226.31,226.78,225.8,226.25,61240800,201.53,-0.0035235809999999996,201.77700000000002,201.77700000000002,Red
10,1/18/17,2017,1,18,Wednesday,3,2017-03,226.54,226.8,225.9,226.75,54793300,201.97,0.002209969,201.7945455,201.7945455,Red
11,1/19/17,2017,1,19,Thursday,3,2017-03,226.84,227.0,225.41,225.91,66608800,201.23,-0.003704573,201.7475,201.7475,Red
12,1/20/17,2017,1,20,Friday,3,2017-03,226.7,227.31,225.97,226.74,129168600,201.97,0.0036741390000000003,201.7646154,201.7646154,Red
13,1/23/17,2017,1,23,Monday,4,2017-04,226.74,226.81,225.27,226.15,75061600,201.44,-0.002602215,201.74142859999998,201.74142859999998,Green
14,1/24/17,2017,1,24,Tuesday,4,2017-04,226.4,228.08,226.27,227.6,95555300,202.73,0.006411804,201.89142859999998,201.8073333,Green
15,1/25/17,2017,1,25,Wednesday,4,2017-04,228.7,229.57,228.51,229.57,84437700,204.49,0.00865535,202.0821429,201.975,Green
16,1/26/17,2017,1,26,Thursday,4,2017-04,229.4,229.71,229.01,229.33,59970700,204.27,-0.0010454260000000001,202.2685714,202.11,Green
17,1/27/17,2017,1,27,Friday,4,2017-04,229.42,229.59,228.76,228.97,59711100,203.95,-0.001569557,202.38071430000002,202.21222219999999,Green
18,1/30/17,2017,1,30,Monday,5,2017-05,228.17,228.2,226.41,227.55,79737300,202.69,-0.006201758000000001,202.45,202.2373684,Green
19,1/31/17,2017,1,31,Tuesday,5,2017-05,226.98,227.6,226.32,227.53,75880800,202.67,-8.79e-05,202.5178571,202.25900000000001,Green
20,2/1/17,2017,2,1,Wednesday,5,2017-05,227.53,228.59,226.94,227.62,79117700,202.75,0.000395493,202.5507143,202.28238100000002,Green
21,2/2/17,2017,2,2,Thursday,5,2017-05,227.62,228.1,226.82,227.77,69657600,202.88,0.000659121,202.6292857,202.3095455,Green
22,2/3/17,2017,2,3,Friday,5,2017-05,228.82,229.55,228.46,229.34,80563200,204.28,0.006892818,202.775,202.3952174,Green
23,2/6/17,2017,2,6,Monday,6,2017-06,228.87,229.33,228.54,228.93,57790100,203.92,-0.001787671,202.94571430000002,202.45875,Green
24,2/7/17,2017,2,7,Tuesday,6,2017-06,229.38,229.66,228.72,228.94,57931200,203.93,4.35e-05,203.0857143,202.5176,Green
25,2/8/17,2017,2,8,Wednesday,6,2017-06,228.94,229.39,228.31,229.24,51566200,204.19,0.001310341,203.2971429,202.58192309999998,Green
26,2/9/17,2017,2,9,Thursday,6,2017-06,229.24,230.95,229.24,230.6,65955200,205.4,0.005932611,203.5421429,202.6862963,Green
27,2/10/17,2017,2,10,Friday,6,2017-06,231.0,231.77,230.62,231.51,66015900,206.21,0.003946259000000001,203.8828571,202.8121429,Green
28,2/13/17,2017,2,13,Monday,7,2017-07,232.08,233.07,232.05,232.77,55182100,207.34,0.005442533,204.2121429,202.9682759,Green
29,2/14/17,2017,2,14,Tuesday,7,2017-07,232.56,233.71,232.16,233.7,71109000,208.17,0.003995428,204.475,203.1416667,Green
30,2/15/17,2017,2,15,Wednesday,7,2017-07,233.45,235.14,233.39,234.92,86785800,209.25,0.005220372,204.8307143,203.33870969999998,Green
31,2/16/17,2017,2,16,Thursday,7,2017-07,234.95,235.16,233.85,234.72,84722400,209.07,-0.0008514210000000001,205.1964286,203.5178125,Green
32,2/17/17,2017,2,17,Friday,7,2017-07,233.95,235.09,233.93,235.09,77204100,209.4,0.0015765739999999999,205.6757143,203.69606059999998,Green
33,2/21/17,2017,2,21,Tuesday,8,2017-08,235.52,236.69,235.51,236.49,88946100,210.65,0.005955055,206.2457143,203.9005882,Green
34,2/22/17,2017,2,22,Wednesday,8,2017-08,236.02,236.54,235.83,236.28,62115200,210.46,-0.0008879269999999999,206.79642859999998,204.088,Green
35,2/23/17,2017,2,23,Thursday,8,2017-08,236.88,236.9,235.56,236.44,74615900,210.61,0.000677231,207.34857140000003,204.2691667,Green
36,2/24/17,2017,2,24,Friday,8,2017-08,235.46,236.79,235.41,236.74,82381600,210.87,0.001268777,207.8192857,204.44756759999999,Green
37,2/27/17,2017,2,27,Monday,9,2017-09,236.64,237.31,236.35,237.11,56515400,211.2,0.001562687,208.33928569999998,204.6252632,Green
38,2/28/17,2017,2,28,Tuesday,9,2017-09,236.67,236.95,236.02,236.47,96961900,210.63,-0.0026991529999999997,208.8178571,204.77923080000002,Green
39,3/1/17,2017,3,1,Wednesday,9,2017-09,238.39,240.32,238.37,239.78,149158200,213.58,0.013997588,209.4885714,204.99925,Green
